Region,Period,Value,Status,Units,Magnitude,Series_title_1,Sex
Northland Region,2019.05,34490,P,Number ,0,Actual ,Female
Northland Region,2019.06,34400,P,Number ,0,Actual ,Female
Northland Region,2019.07,34249,P,Number ,0,Actual ,Female
Northland Region,2019.08,34459,P,Number ,0,Actual ,Female
Northland Region,2019.09,34887,P,Number ,0,Actual ,Female
Northland Region,2019.1,35019,P,Number ,0,Actual ,Female
Northland Region,2019.11,35985,P,Number ,0,Actual ,Female
Northland Region,2019.12,36516,P,Number ,0,Actual ,Female
Northland Region,2020.01,35457,P,Number ,0,Actual ,Female
Northland Region,2020.02,35541,P,Number ,0,Actual ,Female
Northland Region,2020.03,35648,P,Number ,0,Actual ,Female
Northland Region,2020.04,34601,P,Number ,0,Actual ,Female
Northland Region,2020.05,34786,P,Number ,0,Actual ,Female
Auckland Region,2019.05,352742,P,Number ,0,Actual ,Female
Auckland Region,2019.06,353776,P,Number ,0,Actual ,Female
Auckland Region,2019.07,356204,P,Number ,0,Actual ,Female
Auckland Region,2019.08,357794,P,Number ,0,Actual ,Female
Auckland Region,2019.09,359493,P,Number ,0,Actual ,Female
Auckland Region,2019.1,361180,P,Number ,0,Actual ,Female
Auckland Region,2019.11,368175,P,Number ,0,Actual ,Female
Auckland Region,2019.12,369408,P,Number ,0,Actual ,Female
Auckland Region,2020.01,356302,P,Number ,0,Actual ,Female
Auckland Region,2020.02,361256,P,Number ,0,Actual ,Female
Auckland Region,2020.03,363963,P,Number ,0,Actual ,Female
Auckland Region,2020.04,358597,P,Number ,0,Actual ,Female
Auckland Region,2020.05,362218,P,Number ,0,Actual ,Female
Waikato Region,2019.05,93227,P,Number ,0,Actual ,Female
Waikato Region,2019.06,98989,P,Number ,0,Actual ,Female
Waikato Region,2019.07,99153,P,Number ,0,Actual ,Female
Waikato Region,2019.08,99770,P,Number ,0,Actual ,Female
Waikato Region,2019.09,100701,P,Number ,0,Actual ,Female
Waikato Region,2019.1,101465,P,Number ,0,Actual ,Female
Waikato Region,2019.11,103221,P,Number ,0,Actual ,Female
Waikato Region,2019.12,104019,P,Number ,0,Actual ,Female
Waikato Region,2020.01,100854,P,Number ,0,Actual ,Female
Waikato Region,2020.02,102047,P,Number ,0,Actual ,Female
Waikato Region,2020.03,101937,P,Number ,0,Actual ,Female
Waikato Region,2020.04,99948,P,Number ,0,Actual ,Female
Waikato Region,2020.05,100773,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.05,66033,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.06,65291,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.07,64830,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.08,64725,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.09,65066,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.1,65789,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.11,66985,P,Number ,0,Actual ,Female
Bay of Plenty Region,2019.12,67646,P,Number ,0,Actual ,Female
Bay of Plenty Region,2020.01,66034,P,Number ,0,Actual ,Female
Bay of Plenty Region,2020.02,65904,P,Number ,0,Actual ,Female
Bay of Plenty Region,2020.03,66778,P,Number ,0,Actual ,Female
Bay of Plenty Region,2020.04,65822,P,Number ,0,Actual ,Female
Bay of Plenty Region,2020.05,66533,P,Number ,0,Actual ,Female
Gisborne Region,2019.05,10608,P,Number ,0,Actual ,Female
Gisborne Region,2019.06,10583,P,Number ,0,Actual ,Female
Gisborne Region,2019.07,10531,P,Number ,0,Actual ,Female
Gisborne Region,2019.08,10439,P,Number ,0,Actual ,Female
Gisborne Region,2019.09,10409,P,Number ,0,Actual ,Female
Gisborne Region,2019.1,10546,P,Number ,0,Actual ,Female
Gisborne Region,2019.11,10820,P,Number ,0,Actual ,Female
Gisborne Region,2019.12,11065,P,Number ,0,Actual ,Female
Gisborne Region,2020.01,10791,P,Number ,0,Actual ,Female
Gisborne Region,2020.02,10838,P,Number ,0,Actual ,Female
Gisborne Region,2020.03,11059,P,Number ,0,Actual ,Female
Gisborne Region,2020.04,10451,P,Number ,0,Actual ,Female
Gisborne Region,2020.05,10571,P,Number ,0,Actual ,Female
Hawke's Bay Region,2019.05,36278,P,Number ,0,Actual ,Female
Hawke's Bay Region,2019.06,36034,P,Number ,0,Actual ,Female
Hawke's Bay Region,2019.07,35471,P,Number ,0,Actual ,Female
Hawke's Bay Region,2019.08,35352,P,Number ,0,Actual ,Female
Hawke's Bay Region,2019.09,35649,P,Number ,0,Actual ,Female
